dates,RPLprofits,RPLlosses,prices,URPLprofits,URPLlosses,RealisedPrice,MVRV,SOPR
2018-07-27,14606615.613471700,17228725.920595200,8183.025,67733713819.5341,14969094814.729800,5134.479246441040,1.59374000891562,1.0250933882444500
2018-07-28,36133372.20194670,13741304.665417400,8229.96,67668179630.51310,14952914435.402200,5138.0163374775700,1.60177770163346,1.016163666958550
2018-07-29,29054335.566443700,12909367.832932900,8215.56,67589406824.58640,14924131629.124400,5141.310840278700,1.59795045567691,1.0166015725829100
2018-07-30,76385729.5708546,16278072.844368500,8167.9988,67514556724.586600,14898608563.891200,5144.679972734910,1.58765926030145,1.008086345494090
2018-07-31,57022066.64329440,9233243.395140950,7726.8913,61511676991.373200,17496169517.63580,5144.119350983220,1.50208243098464,0.9781417846039130
2018-08-01,71206015.17279210,10557825.723980000,7603.7488,60326693284.45950,18001480917.731300,5143.108941345380,1.47843432575841,0.9992273136771860
2018-08-02,85424693.63367190,6261187.096785880,7535.02,59161427098.575800,18533958390.51710,5141.966481309570,1.46539656129399,0.9897837565366800
2018-08-03,107134561.46954000,7934681.139005630,7415.5613,58029093356.22830,19061760131.239800,5139.067035833750,1.44297812196118,0.991492350669142
2018-08-04,40148934.53578580,9374081.831802990,7009.0888,53725651295.88830,21570863424.33060,5134.178893866070,1.3651820368733,0.9518150299197730
2018-08-05,102712812.84448700,15973412.208272600,7026.9913,53717589034.08830,21491155217.48170,5130.9627550819700,1.36952685790598,0.9956061001674860
2018-08-06,92411028.39761620,5264965.366914730,6937.0738,52649277386.29440,22088045845.36340,5128.103047919720,1.35275631850146,0.97763445941446
2018-08-07,158558435.16028000,10047258.401434500,6717.2088,50562575564.62620,23368404310.08430,5123.0276491180500,1.31117949385973,0.9541106706383700
2018-08-08,141514236.43950200,16418099.821413800,6280.58,46635391144.825200,26215855689.576000,5116.002904740110,1.2276341739722,0.9537010264417470
2018-08-09,143443764.6165620,40246471.01734050,6537.9025,48572204168.56650,24587845721.885100,5110.81779539027,1.27922824912618,0.994860094773034
2018-08-10,82745927.54832170,7627268.903735020,6143.305,44736712297.2865,27546127498.19970,5102.998444442940,1.2038618210221,0.9430892721260170
2018-08-11,38205405.277832700,4161236.973063490,6233.3813,45646200337.48980,26658738054.23450,5099.196170012280,1.22242429829582,0.9855040955061820
2018-08-12,103627137.67829800,64457175.56798080,6312.8338,46577380696.58160,25811580055.15020,5096.280404668420,1.23871398328419,0.9906057284223010
2018-08-13,153441317.6142170,16644607.43218000,6252.37,46557151897.43130,25744510518.049900,5093.324752191260,1.22756162314411,0.9803030042228100
2018-08-14,119030456.47353500,12236207.827084000,6192.3063,45583353333.363800,26401417283.34710,5090.09037534579,1.21654152350474,0.9919812888715350
2018-08-15,68984523.25685730,39293396.286543900,6270.0425,46519853958.687500,25508780616.546300,5083.498161824070,1.23341098991372,0.9709281417234290
2018-08-16,49077266.52913110,50773739.823907800,6314.2413,46479191930.550700,25419847807.931900,5080.276206399020,1.24289330805414,0.9890455221916390
2018-08-17,37062606.84444500,1913029.2753509700,6583.2388,49475295784.380600,23240206811.15130,5080.929536785150,1.2956760672114,1.0210870637956200
2018-08-18,22780778.700102900,39835787.38653530,6395.3525,47384556876.84820,24595601114.969400,5080.995431791360,1.2586810175,0.9841426640503730
2018-08-19,74069728.78579600,27500916.141690600,6485.7463,48382000204.39150,23858985565.315700,5080.891109455340,1.2764977954222,1.0188953086579800
2018-08-20,62451586.49543920,41622555.8564487,6256.6063,46355365737.9642,25283620829.8792,5080.244242672750,1.23155620106729,0.96727832188922
2018-08-21,89022675.12926510,50989253.82060570,6477.3763,48302480155.30740,23769125109.819200,5080.134963705150,1.27504019997055,1.0080260561850200
2018-08-22,49228763.84697270,62063072.73739910,6357.5875,47236680518.267100,24435355271.22860,5078.762790244530,1.25179847190577,0.9669886349889310
2018-08-23,34228019.8115405,12824795.208088300,6525.6088,48191315644.93240,23660026622.79330,5079.5813251230800,1.28467453955802,1.014552929861950
2018-08-24,29110485.0009695,78407336.80699120,6692.6213,50286735287.478200,22309954034.319800,5081.2789624195100,1.31711353568615,1.0185218281870800
2018-08-25,15983641.991258300,43414990.59360190,6732.5025,50219165164.35300,22283968202.56290,5083.947390780050,1.3242667522897,1.0207650887442900
2018-08-26,48811902.1827277,74367729.90798340,6707.6325,50156826199.02640,22259196743.651200,5086.380312474980,1.31874379970147,1.017228407204660
2018-08-27,36377319.5000265,48697065.00823700,6907.6613,52310801523.88670,21014000464.319400,5090.705831361710,1.3569162172846,1.035947147779310
2018-08-28,44064615.667977400,74259208.76894200,7076.745,54487222030.41950,19808989703.69300,5095.295006174880,1.38887836551639,1.0226034827541600
2018-08-29,36370451.594927900,59908139.38581950,7035.8125,53244996513.24600,20355318430.845000,5098.315284322640,1.38002695157657,1.0111359741073600
2018-08-30,43908268.790069,10843895.282553700,6982.4,53124563687.031600,20322150488.458400,5103.778068242480,1.36808456532367,1.0150322203279000
2018-08-31,14311357.069707100,9939069.80907501,7013.9738,53095540084.5459,20285194053.35460,5103.844369764340,1.37425307118521,1.0033943566753600
2018-09-01,10734176.888071700,9880861.15037829,7192.2988,55365202149.38840,19113546544.57560,5104.948865583820,1.40888753039007,1.016611111915240
2018-09-02,35037325.452284500,7876265.640899030,7295.13,56498915395.205400,18548277370.02910,5106.679606518220,1.428546641283,1.0148077833932700
2018-09-03,33419828.03009710,6149469.534113590,7261.4863,56457816848.85540,18528074927.519500,5107.808922565100,1.42164407676263,1.0027792839713800
2018-09-04,147864625.40185600,7702252.686919870,7358.4963,57589311374.958500,17949090310.936100,5108.780139184160,1.44036268923781,1.0094045890517600
2018-09-05,116824582.98032700,10217890.812250900,6687.0125,49737347756.79040,22177103661.13770,5106.11998371451,1.30960739687426,0.9327194524438530
2018-09-06,87330100.85528060,7332851.752719520,6498.6188,47696667924.787700,23435054629.43180,5099.053435780590,1.27447552410385,0.989426540975058
2018-09-07,57786556.918396900,3617043.8425780400,6396.2688,46698560998.41030,24082443904.147500,5094.66393880477,1.25548394885897,0.9811797514233150
2018-09-08,53936881.83700180,9142457.748891980,6183.38,44829467705.63230,25609739279.340300,5090.758619099990,1.21462840072609,0.9630900462402410
2018-09-09,75985658.25396940,26523663.158443200,6238.54,44823575394.239000,25559010586.375300,5088.106000321910,1.22610260077233,0.9812728355663170
2018-09-10,114037760.18233800,21147332.134605800,6305.5738,45727510509.70470,24700156014.551700,5086.264865079240,1.23972580415388,0.9906251036580990
2018-09-11,64668863.64645570,6284914.984964440,6282.9213,45697806312.90780,24592246740.838600,5082.10143592458,1.23628411971218,0.9781091624466930
2018-09-12,209217364.6146800,77298894.29295840,6328.93,45693044633.17650,24504167740.57980,5078.032403527610,1.24633509538132,0.9966664414375750
2018-09-13,24851850.11279550,5423842.079629370,6486.6213,47659128006.58630,22950528292.543700,5074.515664979420,1.27827397297557,0.9901928802751170
2018-09-14,23279566.631662800,7405002.011109860,6492.375,47594514619.43690,22825579101.093100,5070.339217270200,1.28046166573751,0.9971347875265370
2018-09-15,19756025.310395600,8775272.486095350,6515.8988,47581189586.54020,22798566441.865400,5069.791795007760,1.28523991979636,0.9968652367122950
2018-09-16,67093174.184195700,14726348.265548800,6497.3663,47571571834.18500,22779846412.69250,5069.473221431880,1.28166498099477,0.9986545865918960
2018-09-17,37216500.41174240,5278484.511210600,6251.16,45583586745.676100,24226284129.39120,5067.388631507920,1.23360579868133,0.9716639354407770
2018-09-18,36923871.83840830,8326543.617591970,6334.1963,45576299362.88180,24176993023.038300,5065.647525307830,1.25042184012104,0.9990565503941440
2018-09-19,49872072.427745100,8151031.258066270,6388.9788,46548626752.02930,23394151768.57580,5064.700270204330,1.26147224103002,1.0031550546555500
2018-09-20,168765048.6733450,5788145.69191389,6491.64,47562224545.57810,22651805885.79510,5063.715337784670,1.28199149576209,1.0048213312886300
2018-09-21,30839952.401209900,2358670.134390150,6753.18,50836052932.32140,20724786925.898400,5063.479211029440,1.33370351067898,0.9969729779841590
2018-09-22,19314329.213445200,12304733.619984200,6712.1675,49671480858.22340,21167933825.26060,5056.280410651950,1.32749115058169,0.9982201914397340
2018-09-23,39923286.76868240,8516620.619017990,6701.2975,49656454803.747200,21150108626.22500,5056.252401863740,1.3253486905697,0.9998786759454400
2018-09-24,135439218.05498700,21266717.076131200,6581.51,48557099137.87010,21773944277.484300,5055.7241241770000,1.3017937368312,0.9881287677901470
2018-09-25,31604145.987564100,8166277.939373870,6434.6488,46471175858.38590,23094453296.28000,5052.979416868990,1.27343657457191,0.9845323331330030
2018-09-26,24265261.54568140,8603825.128165380,6458.6525,47483464428.24040,22292837433.262500,5048.321994598030,1.27936619472987,0.9954425656202180
2018-09-27,47962103.663404800,35777151.80701440,6684.1313,49645420147.64800,20988948449.784200,5048.938353659770,1.32386866937184,1.0238911226858100
2018-09-28,37299665.932537700,3907282.580770280,6621.665,48507569145.01680,21594407889.88330,5049.364333941610,1.31138586207564,0.9975946831274340
2018-09-29,31950500.997462400,16843937.369262600,6583.7713,48479371553.439900,21552545793.025600,5048.666364032880,1.30406147391781,0.9986549871510540
2018-09-30,73634226.31463830,7932285.986430840,6606.085,48465059636.626000,21518944633.7749,5047.543390100740,1.30877230554489,1.001070690505280
2018-10-01,71405817.39553460,20100638.616417800,6578.7938,48445254819.73090,21473284819.96970,5045.990034813140,1.30376670477187,0.9876822612862500
2018-10-02,54585811.525355400,8051143.685571640,6506.6575,47370078530.655600,22085330484.93300,5043.263307243770,1.2901681121139,0.9886653369176310
2018-10-03,36053439.34364580,6698666.419717000,6470.7138,47355229456.57360,22021320002.643400,5040.723670503300,1.28368746691364,0.9924842492952060
2018-10-04,23285201.314289800,5163190.732297110,6555.875,48419099906.42850,21321205877.176200,5039.072630210480,1.30100823724904,0.9972467909817030
2018-10-05,22141225.493066900,7484666.234149360,6589.4038,48414416100.04350,21289672524.86460,5038.292970840030,1.3078643576579,1.0029558863353800
2018-10-06,13598817.315907200,2915190.2650313300,6563.425,48400395658.39560,21269572156.34760,5037.984377186770,1.30278788273358,0.998505413145038
2018-10-07,22849470.702303000,19761991.911687500,6582.4013,48398156920.32110,21252982010.254800,5037.417949072950,1.30670144239498,1.0033924400187800
2018-10-08,35717460.2674713,15696503.699409700,6622.4013,48382109177.96340,21234388104.481800,5037.528870805470,1.31461307117851,1.0063701316344400
2018-10-09,35226106.36343850,16925123.91719790,6606.8825,48353297751.522100,21202590990.373100,5037.380702301990,1.31157101089873,0.999635514554124
2018-10-10,411556824.1591810,5299119.608773230,6550.7313,48342004112.70580,21176195741.964800,5036.87476929408,1.30055472888362,1.0025998287066500
2018-10-11,48833369.5945081,7442737.286660920,6177.2338,44422405332.69110,23851422981.543000,5017.050152047250,1.2312481663113,0.9338697235645100
2018-10-12,38951801.60679280,10220949.488811000,6211.6688,44415842732.038300,23766763498.67780,5012.538996668190,1.23922602978827,0.9944552020117630
2018-10-13,41300192.59689040,6961161.167023850,6227.51,44403490551.8455,23722412642.352400,5010.93558615949,1.24278388594752,0.9968222887634520
2018-10-14,58500118.18193030,20016202.233377100,6222.215,44398593929.452200,23683273161.637300,5009.0724274411400,1.24218906596617,0.9900361676957900
2018-10-15,84772922.65198200,22399343.456948700,6513.3838,47323312015.258800,21392738351.13310,5009.176745069280,1.30029027352875,1.0162565406471100
2018-10-16,50608409.34031280,8572187.38995903,6531.3625,47285917736.47740,21308416664.432900,5007.596047816340,1.30429100862641,1.0015710174745300
2018-10-17,49256356.97311710,3862741.472345140,6514.6413,47269795914.148400,21244153459.939700,5005.38381642612,1.3015268237015,1.003407374775580
2018-10-18,38237210.820683400,55760046.836114100,6450.785,47266809999.68340,21206403156.06310,5003.510842593220,1.28925172802397,0.9976863875830420
2018-10-19,443564452.9228360,6581224.045199700,6418.8525,46203341687.15460,21856726038.51250,5002.2646960690800,1.28318929325034,1.0096480360887700
2018-10-20,16858756.236800200,6370159.6254065300,6455.485,47213351881.71100,20872618247.19750,4987.003543124840,1.29446168308816,0.9074975165426680
2018-10-21,46058557.4521688,12266124.044561500,6453.82,47210136792.59640,20726482640.282700,4978.827044175940,1.2962531019328,1.000668279303390
2018-10-22,43020743.104254200,7571161.426569150,6448.0988,46142059527.872100,21376098075.40680,4978.09685610219,1.29529396200796,1.0001378443751200
2018-10-23,25501002.08854190,3637065.1643500400,6434.2538,46128041513.776,21327633999.26500,4976.198020704220,1.29300598031455,1.0005258672884600
2018-10-24,43461838.969126200,4293801.28702387,6450.31,47190860082.40370,20630059472.22670,4974.825512625720,1.29659019871745,1.0003212370351800
2018-10-25,95988415.41890730,4955906.956366670,6427.3975,46114762742.099100,21257365758.513400,4973.237210915410,1.29239713036269,0.996969694742655
2018-10-26,15006858.649049300,2146840.272823390,6436.9713,46108607425.25720,21180152838.274200,4969.159023105850,1.29538444434341,0.9866509766091790
2018-10-27,18945245.464625600,4810971.917642290,6431.0888,46104454573.57810,21141432012.724000,4967.215511520000,1.29470702148618,1.0008083821383500
2018-10-28,50736419.347317400,8534822.00102053,6426.55,46099522919.45410,21127140502.07510,4966.66679191683,1.29393620898006,1.0001213464343100
2018-10-29,35814070.16801740,4079715.029384830,6285.2338,45150404332.92310,21896448168.68090,4965.208973432160,1.265854837859,0.9873488210657230
2018-10-30,54434252.15107540,7520536.607692110,6283.5263,45144372605.37050,21854619824.774600,4963.109937472660,1.26604616443369,0.9956815973922740
2018-10-31,60352922.53567380,4091085.493150600,6320.4588,45137594145.651400,21807789749.643500,4961.052181697310,1.27401578707797,0.9980887049448580
2018-11-01,26626574.91086860,13807927.892170600,6358.4,46114987592.006500,21004336275.336900,4958.983489023380,1.28219825979945,0.995766985474076
2018-11-02,16728161.074210400,3073157.521123680,6368.855,46104576432.068700,20960323179.573700,4957.2455416201300,1.28475681636672,1.0020052001898900
2018-11-03,18571224.847928700,9145803.875380040,6346.8063,45111889171.217900,21693296398.999500,4956.930613597860,1.28039038565306,0.9984025864235430
2018-11-04,26943363.20934420,6717142.539283990,6439.4788,46092764055.65390,20928660451.89250,4956.897896366020,1.2990945011639,1.007923132387480
2018-11-05,25299029.759635500,8931960.84996396,6420.865,46074465717.466700,20906495675.43810,4956.672287786190,1.29539832920198,1.000277565110440
2018-11-06,22692299.755445700,17627384.02506180,6465.9875,47167765282.894700,20251689508.136700,4956.367238054000,1.30458200319691,1.0061759238373700
2018-11-07,26866859.46253360,15635937.482389900,6520.1088,47139042624.75890,20227182359.429100,4956.684454272450,1.31541736419795,1.005296260218410
2018-11-08,30469749.056453700,17226065.8900805,6425.2638,46027093908.296100,20856814514.578300,4956.4788915346400,1.29633635905803,0.9960767041993070
2018-11-09,18274020.345625300,9977107.493601240,6353.8763,46009503159.101700,20833705096.79270,4956.1081539208400,1.28202938730733,0.9961175114028300
2018-11-10,11322608.715194100,6954161.9576420500,6368.675,45996335444.21560,20814107763.1421,4955.907109533210,1.28506746782021,1.0000274504630300
2018-11-11,26890778.6719646,13222564.697394800,6380.815,45989809190.399100,20802427443.72920,4955.764739309220,1.28755405788077,1.004155473734700
