dates,0.1BTC,1BTC,10BTC,100BTC,1000BTC,10000BTC,prices
2018-10-22,55.64695897999998,657.1848443899997,614.2877482600003,1312.3542975999999,1002.06380865,1024.8765,6448.0988
2018-10-23,56.92304453000002,863.3808170599998,1317.2771106100013,2549.5665827200005,2932.7142437600005,0.0005815300000000002,6434.2538
2018-10-24,58.09174621999998,673.0313556200003,557.72822233,1552.4428752400001,1.6175379500000004,2.667e-05,6450.31
2018-10-25,57.35477675999994,743.0283390200004,727.1545658100002,738.67954412,3817.2447913800033,6.993e-05,6427.3975
2018-10-26,60.03599463,800.2522976399998,586.86016009,965.6744973199999,1461.77962683,31010.01103543,6436.9713
2018-10-27,44.179015880000044,482.65829449999984,358.2795478500001,74.57606501000001,11.491183310000004,1e-05,6431.0888
2018-10-28,48.20651628,671.8724150699999,610.6643515799998,126.28351160999999,1.2235159999999998,0.0011942600000000002,6426.55
2018-10-29,60.60898463999998,782.09748814,616.2153473699999,785.1913552199999,144.43907481999997,0.0,6285.2338
2018-10-30,62.281287450000015,816.7708764500003,453.4161065099999,390.11972007000014,0.9092394499999998,0.0,6283.5263
2018-10-31,62.16229358,868.3720843700006,592.6594205800002,1210.9390915200001,24304.97100279,0.00028000000000000003,6320.4588
2018-11-01,56.58863235999999,761.06190714,724.54050942,859.16788222,3902.8002506299995,0.0,6358.4
2018-11-02,71.92834523000005,842.7866640200002,1001.4091068500001,1532.6927112399999,752.8461856399999,0.0003534,6368.855
2018-11-03,46.92684775000004,645.0382395900001,620.9013589200006,864.2585786200002,1.61704207,0.00028898,6346.8063
2018-11-04,47.66306949,743.8403046200001,1017.1114743200002,2222.47686767,2.8580740000000002,0.0,6439.4788
2018-11-05,70.57194835000006,954.7093562299999,903.1601472300002,3030.22359177,3674.7182126400003,0.0,6420.865
2018-11-06,63.665854430000046,856.1878928499999,655.3499417000002,1190.59942169,513.49635382,0.0,6465.9875
2018-11-07,71.26535240000003,906.8922023300003,766.13831387,197.55261889000002,1.45773767,1001.0,6520.1088
2018-11-08,62.39063051,754.4282048000002,1677.9578829900006,718.9195628300002,1.55048168,8e-06,6425.2638
2018-11-09,62.47923299000002,902.2328033399998,800.1652127900002,1188.8489224399998,4844.739033890001,0.00015621,6353.8763
2018-11-10,52.31661513999999,827.0671518799999,1197.8005044200004,1773.21002124,10.451381409999996,0.00013996,6368.675
2018-11-11,50.09378943999996,740.9584844800004,529.2901764699999,435.6857362100001,2.1662813500000007,0.0,6380.815
2018-11-12,67.47529839,868.6341613899998,810.1788368400001,1206.0129052,1.9748837899999996,0.0,6356.0238
2018-11-13,78.24008354000003,922.7615577100003,975.0249735199998,325.3889861,3.0784735400000005,1e-05,6307.245
2018-11-14,91.84237284000005,1257.9383144399999,2229.97929549,3206.5140846800005,487.15829950000017,1002.32641662,5681.9813
2018-11-15,97.73412627000002,1259.2411459,746.0237242700003,5032.55351897,2072.0587425199997,0.0,5620.8775
