,5m-7.5m,7.5m-10m,10m-20m,20m+,prices
2020-08-30 03:00:00,0.0,1.0,1.0,9.0,11615.54
2020-08-30 04:00:00,0.0,1.0,0.0,6.0,11585.32
2020-08-30 05:00:00,0.0,0.0,0.0,2.0,11592.95
2020-08-30 06:00:00,1.0,0.0,0.0,4.0,11590.26
2020-08-30 07:00:00,2.0,1.0,0.0,2.0,11595.47
2020-08-30 08:00:00,0.0,1.0,0.0,2.0,11566.53
2020-08-30 09:00:00,5.0,0.0,0.0,5.0,11585.52
2020-08-30 10:00:00,0.0,1.0,1.0,6.0,11563.61
2020-08-30 11:00:00,0.0,0.0,0.0,2.0,11603.58
2020-08-30 12:00:00,0.0,2.0,0.0,5.0,11600.01
2020-08-30 13:00:00,4.0,1.0,0.0,2.0,11630.4
2020-08-30 14:00:00,5.0,0.0,1.0,2.0,11620.01
2020-08-30 15:00:00,2.0,1.0,1.0,3.0,11617.81
2020-08-30 16:00:00,1.0,0.0,0.0,2.0,11663.51
2020-08-30 17:00:00,0.0,0.0,0.0,7.0,11644.01
2020-08-30 18:00:00,3.0,0.0,6.0,3.0,11653.0
2020-08-30 19:00:00,1.0,0.0,0.0,8.0,11639.71
2020-08-30 20:00:00,3.0,0.0,0.0,4.0,11639.17
2020-08-30 21:00:00,0.0,0.0,0.0,3.0,11605.0
2020-08-30 22:00:00,3.0,0.0,1.0,13.0,11660.01
2020-08-30 23:00:00,3.0,0.0,0.0,7.0,11716.01
2020-08-31 00:00:00,1.0,0.0,0.0,5.0,11702.62
2020-08-31 01:00:00,1.0,0.0,0.0,1.0,11690.72
2020-08-31 02:00:00,6.0,2.0,2.0,3.0,11680.11
2020-08-31 03:00:00,1.0,4.0,1.0,4.0,11682.17
2020-08-31 04:00:00,6.0,5.0,0.0,7.0,11663.57
2020-08-31 05:00:00,8.0,6.0,1.0,9.0,11671.5
2020-08-31 06:00:00,8.0,0.0,2.0,8.0,11678.06
2020-08-31 07:00:00,11.0,0.0,3.0,6.0,11626.0
2020-08-31 08:00:00,4.0,0.0,0.0,6.0,11582.93
2020-08-31 09:00:00,4.0,1.0,1.0,5.0,11604.75
2020-08-31 10:00:00,2.0,1.0,0.0,8.0,11616.25
2020-08-31 11:00:00,5.0,2.0,5.0,6.0,11682.01
2020-08-31 12:00:00,4.0,2.0,2.0,7.0,11717.2
