date,RPLprofits,RPLlosses,price
2013-12-24,29841449.63337440,19274860.458077700,667.6203
2013-12-25,29542950.140149300,18621881.27106230,687.3557
2013-12-26,28507201.752344900,16477170.944341400,765.2067
2013-12-27,27525582.225127600,14841480.67324780,746.7232
2013-12-28,26392298.490606200,14644535.318114200,730.4715
2013-12-29,25407903.357092600,14411196.609017400,745.0712
2013-12-30,23889280.914238700,14521089.518251400,754.7645
2013-12-31,21889518.84566240,14105595.332986100,757.4953
2014-01-01,21493219.59948220,14261658.476183000,770.4357
2014-01-02,20716798.845654300,14188844.033296100,808.0485
2014-01-03,21093944.662245000,13227989.296968100,830.024
2014-01-04,23129662.322645200,13157237.537516900,858.9833
2014-01-05,23733582.226996700,11844239.066987000,940.0972
2014-01-06,24163679.828662900,11027468.799795800,951.3865
2014-01-07,23363710.166846700,9149816.666942510,810.5833
2014-01-08,23937206.224694500,8638717.140003230,859.9485
2014-01-09,23575400.258561100,7529965.403193460,860.895
2014-01-10,19865085.299284700,6306880.7957593,884.6667
2014-01-11,20987839.512579200,3431455.239266000,930.905
2014-01-12,21312520.052043700,3402948.0611699700,873.2635
2014-01-13,20577846.111597500,3265107.168039430,857.9564
2014-01-14,18361181.04711120,3340921.8670000400,851.828
2014-01-15,18603601.052220600,3244021.591484980,874.713
2014-01-16,18220978.416898400,3206286.233995170,847.3735
2014-01-17,18374289.982257900,3249342.0559251800,828.222
2014-01-18,18308884.04028220,3206331.2136844700,843.7583
2014-01-19,18428881.738210400,2931519.26203343,878.6807
2014-01-20,18540335.83557790,2796666.78384098,871.0483
2014-01-21,18708559.521060700,2495164.209937510,874.2885
2014-01-22,18570940.006453200,2503304.094961970,863.95
2014-01-23,17820388.72187020,2511167.162956220,854.3475
2014-01-24,15528720.683364300,2732047.681651520,825.1221
2014-01-25,14324276.434325400,2695376.034469080,861.8516
2014-01-26,13500232.718939100,2670166.684400170,880.1523
2014-01-27,13335958.940232700,2489699.1608245000,814.5302
2014-01-28,11571560.842139700,2223671.9180343100,833.9395
2014-01-29,11535094.436853700,2237777.7240246400,837.5148
2014-01-30,11666422.77973060,2345083.039780020,845.8467
2014-01-31,10435399.647664600,2379921.4159379000,848.2875
2014-02-01,10196828.826805700,2213633.170499520,853.0164
2014-02-02,9972215.48513937,2116029.8927199900,854.375
2014-02-03,9267014.391427100,1983607.711357540,846.9048
2014-02-04,8428133.757644140,2196376.2356057700,842.0123
2014-02-05,14381324.373967700,2394409.0948482500,820.867
2014-02-06,14535166.233318800,2623082.2699264400,783.6211
2014-02-07,14604004.382322600,3554456.6850692400,703.567
2014-02-08,14295249.236760300,4062943.7804468500,676.9094
2014-02-09,14096639.046978200,4320023.819926780,681.9371
2014-02-10,13959428.293871200,4693181.485403760,679.7338
2014-02-11,13618579.228279000,5184878.826575980,669.4418
2014-02-12,13658477.296655300,5832116.20104811,648.3835
2014-02-13,13184257.096594300,6048933.326452440,598.4075
2014-02-14,13149875.752719900,6256821.025852470,656.6068
2014-02-15,13063977.78573410,6535525.725219230,645.43
2014-02-16,12775379.361565700,6631948.716415740,610.6525
2014-02-17,12583995.53522720,6855702.770093880,621.494
2014-02-18,12612417.655922800,7358429.565676150,621.2235
2014-02-19,12191421.950296100,7671546.156074670,617.71
2014-02-20,12258939.255928700,8283655.160166140,552.2138
2014-02-21,11765807.75521700,8534334.177798390,569.0425
2014-02-22,11714064.311541300,8711775.99152345,604.7473
2014-02-23,11708439.604589000,8937092.172435650,604.5823
2014-02-24,11531375.521237600,10032965.303281400,545.3225
2014-02-25,5248685.286041690,11700899.129534700,534.7108
2014-02-26,5152505.865086590,11584921.804030200,577.0858
2014-02-27,5064354.6673538800,11012584.024379100,576.698
2014-02-28,5543288.245938030,10919568.94404280,543.9265
2014-03-01,5737079.897129050,11333906.48020900,563.7358
2014-03-02,5638503.56516782,11300779.774021600,560.3045
2014-03-03,6271231.117271,11151191.408410100,661.1225
2014-03-04,6453060.004240910,10991223.402724500,663.598
2014-03-05,6879046.333632050,10916719.131399600,661.7858
2014-03-06,6848729.329652240,10807765.532758600,658.7245
2014-03-07,13117279.034209700,10860474.155383400,625.8278
2014-03-08,13129853.302429300,10559472.598922200,615.24
2014-03-09,16786295.987112200,10332851.510469100,633.1825
2014-03-10,16896808.396590200,9965997.834508290,625.8285
2014-03-11,17108802.93620550,9584463.029678400,628.9543
2014-03-12,17508885.6845937,9223233.045813480,631.3913
2014-03-13,17595307.937766800,9163524.335475000,638.165
2014-03-14,17517061.000315200,9157779.695234020,626.7067
2014-03-15,17451338.059592900,8960811.261950010,633.6652
2014-03-16,17388966.63626430,7667002.241868160,630.7167
2014-03-17,17174998.93943180,5835491.02711915,621.2225
2014-03-18,17096893.48109790,5766242.484604520,613.6315
2014-03-19,17234443.247817000,5702392.57627468,608.8157
2014-03-20,16825705.580487800,5737880.4799172000,586.5898
2014-03-21,17294187.07809740,5284025.634857840,570.7705
2014-03-22,17228695.246547400,5022116.111782830,564.4215
2014-03-23,16387543.095041500,4733014.1178177600,561.3534
2014-03-24,16169199.526016200,4296679.440489560,586.2718
2014-03-25,15837694.708065000,4005830.324381260,582.2802
2014-03-26,15577070.772483300,4025982.260879490,579.0722
2014-03-27,9358551.70455918,4496530.167114920,478.1595
2014-03-28,9260438.760205330,4825405.708753120,502.4399
2014-03-29,5520413.551665530,4918458.743026860,493.1803
