,Profits(1h),Losses(1h),Profits(>200D),Losses(>200D),Profits(<200D),Losses(<200D),prices
2016-05-07,4257920.019559550,1185580.6652436600,1334008.4595679700,274474.3353144260,2923911.55999156,911106.3299292270,459.465
2016-05-08,3938956.7813274400,1185938.2469368200,1189838.507951780,270285.97634863800,2749118.2733756400,915652.2705881830,459.437
2016-05-09,3451954.5981006400,1189734.8680220900,1107952.822895970,271740.39462388800,2344001.775204650,917994.4733981950,461.491
2016-05-10,3100876.108437110,1342584.3000737900,1128216.9689224100,252081.76333921300,1972659.1395146700,1090502.536734580,450.987
2016-05-11,3139673.4653355500,973806.5915682320,1135462.9936490400,265761.1730873220,2004210.471686490,708045.4184809070,452.113
2016-05-12,3029242.602257590,935544.9578829450,1138817.1646091000,271065.86666870600,1890425.437648470,664479.0912142360,454.818
2016-05-13,2856356.89853236,930706.2203357250,1124968.1521888400,275252.10455257300,1731388.746343500,655454.1157831480,455.735
2016-05-14,2963888.1676866600,851247.6161215990,1222278.556367020,280945.85902597600,1741609.611319620,570301.7570956210,455.753
2016-05-15,2718977.309815590,840736.4815367540,991239.9968742560,284141.77395079400,1727737.312941310,556594.707585957,457.848
2016-05-16,2685285.5437154500,825852.7462606370,1006379.2235088000,346307.6175100170,1678906.320206630,479545.12875061700,453.41
2016-05-17,3757070.939779450,835324.488094371,2141645.1078442400,348983.90468851200,1615425.8319351900,486340.5834058570,452.746
2016-05-18,3776003.3704608900,794032.9886530420,2178793.025973730,383267.7230393350,1597210.3444871300,410765.2656137050,453.378
2016-05-19,3903486.7905608600,1156843.2780584300,2318746.2674212700,401698.1439313300,1584740.5231395700,755145.134127096,436.729
2016-05-20,3768166.2482435200,1231628.4168571800,2411208.1592022600,413477.8833496920,1356958.0890412400,818150.5335074910,442.953
2016-05-21,3637093.1598360300,1149689.602234450,2363110.7155709500,313513.6738291760,1273982.4442650500,836175.9284052680,443.135
2016-05-22,3582337.9583239500,1236188.548272980,2362123.719997640,314322.6078375230,1220214.2383262800,921865.9404354500,438.773
2016-05-23,3618855.7172468700,1260599.7098015200,2428997.07742111,308044.04148903700,1189858.6398257400,952555.668312478,443.734
2016-05-24,3522571.0675300200,1131847.6916643500,2335719.3073521800,320761.34681011800,1186851.7601778200,811086.3448542260,445.13
2016-05-25,3583207.677395550,1083133.1315821000,2447488.061289010,308453.14688007600,1135719.616106510,774679.9847020180,449.234
2016-05-26,3628310.7048216100,1059182.1416977800,2440229.9873915000,299175.9284755760,1188080.7174300900,760006.2132222000,453.819
2016-05-27,4964322.067023160,1052211.5621728800,3167122.40841717,301177.90104206900,1797199.6586059600,751033.6611308060,473.467
2016-05-28,6576067.217985060,1050823.4511760800,3120040.0914397300,305972.844698677,3456027.1265453000,744850.606477404,525.433
2016-05-29,7546676.5024522000,1079573.5210869700,3334006.336560850,318436.38935585800,4212670.165891320,761137.1317311130,524.083
2016-05-30,8608773.724725280,963659.0848344580,3425303.182370520,265824.1888771140,5183470.542354740,697834.8959573420,532.586
2016-05-31,8279581.7936839000,950320.8207004780,2446063.265323280,276731.40323997000,5833518.5283606,673589.417460505,531.797
2016-06-01,8895378.10431768,913427.479077978,2464237.8939468800,255529.00196679900,6431140.210370780,657898.4771111770,536.424
2016-06-02,9761110.741815360,537231.4541701020,2769841.556934570,240854.52119857400,6991269.18488077,296376.93297152500,538.145
2016-06-03,10469905.834318500,464335.71618484800,2670502.50739885,233694.38781020100,7799403.326919670,230641.32837464400,570.471
2016-06-04,11028660.960940700,419671.5092063600,2674913.6863356900,217289.73624829400,8353747.274604980,202381.77295806300,573.45
2016-06-05,11554925.420758500,322844.0281149900,2724767.2623561100,210704.64339793600,8830158.158402330,112139.3847170510,574.106
2016-06-06,12439548.388267100,296629.11400811500,2795810.6151794500,217532.49803371400,9643737.773087640,79096.61597439840,585.531
2016-06-07,12910661.987205900,373675.6250291750,2906937.6923409400,215819.82336230400,10003724.294865000,157855.80166686800,577.856
2016-06-08,13377582.804819500,362041.04481253800,2884031.9016850300,215902.82742149900,10493550.903134500,146138.21739103600,583.105
2016-06-09,13677731.588207800,465076.4598784120,2903421.9367338700,213218.15129276600,10774309.651473900,251858.30858564300,576.454
2016-06-10,12850054.443926500,459601.7608708790,2329496.364292540,194580.5384958170,10520558.079633900,265021.222375059,579.131
2016-06-11,11989334.644626900,443343.85611958700,2412437.58838894,178322.63374452500,9576897.056237940,265021.222375059,611.777
2016-06-12,13988542.874941500,417421.24388922500,3073694.364599630,170721.56414355500,10914848.510341800,246699.6797456670,675.343
