Dates,Values,Prices
2009-11-16,2050.0,0.0
2009-11-17,1850.0,0.0
2009-11-18,1750.0,0.0
2009-11-19,1500.0,0.0
2009-11-20,1800.0,0.0
2009-11-21,1150.0,0.0
2009-11-22,2100.0,0.0
2009-11-23,2250.0,0.0
2009-11-24,1700.0,0.0
2009-11-25,1900.0,0.0
2009-11-26,1650.0,0.0
2009-11-27,1450.0,0.0
2009-11-28,1850.0,0.0
2009-11-29,1950.0,0.0
2009-11-30,1600.0,0.0
2009-12-01,2200.2200000000003,0.0
2009-12-02,2350.0,0.0
2009-12-03,2000.0,0.0
2009-12-04,150.0,0.0
2009-12-05,1295.65,0.0
2009-12-06,1650.0,0.0
2009-12-07,1850.0,0.0
2009-12-08,1700.0,0.0
2009-12-09,1703.0,0.0
2009-12-10,1850.0,0.0
2009-12-11,2550.0,0.0
2009-12-12,1950.0,0.0
2009-12-13,2200.0,0.0
2009-12-14,2300.0,0.0
2009-12-15,2200.0,0.0
2009-12-16,2350.0,0.0
2009-12-17,3001.0,0.0
2009-12-18,3750.0,0.0
2009-12-19,2700.0,0.0
2009-12-20,2700.0,0.0
2009-12-21,3200.0,0.0
2009-12-22,2250.0,0.0
2009-12-23,2150.0,0.0
2009-12-24,2350.0,0.0
2009-12-25,2149.5,0.0
2009-12-26,2750.0,0.0
2009-12-27,3200.0,0.0
2009-12-28,2900.0,0.0
2009-12-29,2450.0,0.0
2009-12-30,2300.0,0.0
2009-12-31,2000.0,0.0
2010-01-01,2150.0,0.0
2010-01-02,1700.0,0.0
2010-01-03,2450.0,0.0
2010-01-04,2650.0,0.0
2010-01-05,2800.0,0.0
2010-01-06,2450.0,0.0
2010-01-07,2800.0,0.0
2010-01-08,2900.0,0.0
2010-01-09,2800.0,0.0
2010-01-10,2350.0,0.0
2010-01-11,2050.0,0.0
2010-01-12,1550.0,0.0
2010-01-13,2607.0,0.0
2010-01-14,2200.0,0.0
2010-01-15,1900.0,0.0
2010-01-16,1800.0,0.0
2010-01-17,1800.0,0.0
2010-01-18,1050.0,0.0
2010-01-19,500.0,0.0
2010-01-20,650.0,0.0
2010-01-21,1850.0,0.0
2010-01-22,1751.0,0.0
2010-01-23,1650.0,0.0
2010-01-24,1900.0,0.0
2010-01-25,2050.0,0.0
2010-01-26,2150.0,0.0
2010-01-27,1950.0,0.0
2010-01-28,1850.0,0.0
2010-01-29,2200.0,0.0
2010-01-30,2200.0,0.0
2010-01-31,650.0,0.0
2010-02-01,750.0,0.0
2010-02-02,1050.0,0.0
2010-02-03,2500.0,0.0
2010-02-04,2550.0,0.0
2010-02-05,2500.0,0.0
2010-02-06,2800.0,0.0
2010-02-07,1450.0,0.0
2010-02-08,3450.0,0.0
2010-02-09,2249.56,0.0
2010-02-10,2050.0,0.0
2010-02-11,1900.0,0.0
2010-02-12,1950.0,0.0
2010-02-13,1600.0,0.0
2010-02-14,2350.0,0.0
2010-02-15,2236.63,0.0
2010-02-16,1899.0,0.0
2010-02-17,5783.17,0.0
2010-02-18,2650.0,0.0
2010-02-19,2150.0,0.0
2010-02-20,1850.0,0.0
2010-02-21,2950.0,0.0
2010-02-22,3700.0,0.0
2010-02-23,2600.0,0.0
2010-02-24,2800.0,0.0
2010-02-25,2550.0,0.0
2010-02-26,2500.0,0.0
2010-02-27,1850.0,0.0
2010-02-28,1750.0,0.0
2010-03-01,2300.0,0.0
2010-03-02,2250.0,0.0
2010-03-03,2050.0,0.0
2010-03-04,2650.0,0.0
2010-03-05,2750.0,0.0
2010-03-06,2500.0,0.0
2010-03-07,2050.0,0.0
2010-03-08,1850.01,0.0
2010-03-09,1850.0,0.0
2010-03-10,2000.0,0.0
2010-03-11,1400.0,0.0
2010-03-12,1850.0,0.0
2010-03-13,1650.0,0.0
2010-03-14,1550.0,0.0
2010-03-15,2000.0,0.0
2010-03-16,1550.0,0.0
2010-03-17,1750.0,0.0
2010-03-18,1890.0,0.0
2010-03-19,2600.0,0.0
2010-03-20,2199.0,0.0
2010-03-21,2251.0,0.0
2010-03-22,3050.0,0.0
2010-03-23,2953.42,0.0
2010-03-24,3000.0,0.0
2010-03-25,3050.0,0.0
2010-03-26,2750.0,0.0
2010-03-27,2200.0,0.0
2010-03-28,2500.0,0.0
2010-03-29,3800.0,0.0
