,Volumes(1h),Volumes(>200D),Volumes(<200D),DollarVolumes(1h),DollarVolumes(>200D),DollarVolumes(<200D),prices
2019-01-20,244451.8025170702,3076.519615030002,241375.28290204026,868511171.3358219,10930545.927558672,857580625.4082631,3552.8933
2019-01-21,374612.0902693,15210.111407619996,359401.97886168,1329382178.6177623,53975970.251107015,1275406208.3666558,3548.69
2019-01-22,433897.07370973006,12434.270932579993,421462.8027771502,1561256390.9387996,44741221.216767415,1516515169.722032,3598.2183
2019-01-23,412226.9221690798,4454.872737439997,407772.0494316398,1474127595.9458508,15930669.457812807,1458196926.4880373,3576.01
2019-01-24,422137.28836779046,3228.152657030002,418909.1357107606,1518964658.2485588,11615770.349070856,1507348887.8994877,3598.2717
2019-01-25,405085.05872326007,4129.078407349998,400955.98031591007,1451095697.358462,14791184.670809167,1436304512.6876533,3582.2
2019-01-26,269988.36646446993,4742.786338330001,265245.58012614,966767592.9268123,16982850.750633594,949784742.176179,3580.775
2019-01-27,265444.82340251,4220.9559724400015,261223.86743007,943128987.9652698,14997112.708793761,928131875.2564759,3553.0133
2019-01-28,494862.95217595017,8707.190137950003,486155.762038,1709494171.0327754,30078814.187745523,1679415356.8450296,3454.48
2019-01-29,467075.95778035006,9154.26438686999,457921.69339348027,1597922900.6815102,31317836.979208693,1566605063.702302,3421.12
2019-01-30,487240.02908568,27958.83912909,459281.1899565901,1696715953.2850647,97361065.49923013,1599354887.7858346,3482.3
2019-01-31,443754.75434449,5681.443112060003,438073.3112324303,1527397208.1324196,19555441.970063843,1507841766.1623566,3441.985
2019-02-01,500908.9374342505,2571.07436519,498337.8630690601,1737278273.8015325,8917133.037896635,1728361140.7636359,3468.2517
2019-02-02,293234.29441901995,2728.908859699999,290505.3855593201,1016413842.9153601,9458991.645397188,1006954851.2699625,3466.2175
2019-02-03,248176.23381234,2663.0885745699993,245513.14523777008,854512143.9940635,9169457.899109889,845342686.0949532,3443.1667
2019-02-04,350557.7731888402,6447.277141469999,344110.49604737054,1209815189.4186053,22250294.852084227,1187564894.56652,3451.115
2019-02-05,350285.20289558015,6092.825417740002,344192.3774778401,1216202484.4355557,21154503.099282887,1195047981.3362727,3472.035
2019-02-06,392981.3992794904,15995.959471020002,376985.4398084701,1333649853.3612065,54285034.971147545,1279364818.3900588,3393.6717
2019-02-07,379284.61828225036,8460.697087420001,370823.92119483027,1284246338.965151,28647666.5170915,1255598672.4480603,3385.97
2019-02-08,409197.1691152804,7985.6468104,401211.52230488043,1496598421.9574137,29206718.219956543,1467391703.737457,3657.4017
2019-02-09,307806.2093038201,4055.8677854400007,303750.3415183801,1124816230.6589494,14821357.648333393,1109994873.0106168,3654.3
2019-02-10,251538.7293507902,3026.6609278100004,248512.06842298034,925927067.2925663,11141295.35363858,914785771.9389275,3681.0517
2019-02-11,358728.13787711016,9068.24198907,349659.8958880399,1298964739.259317,32836360.873670764,1266128378.385646,3621.0283
2019-02-12,450496.31611160055,5629.001031680003,444867.3150799203,1632018995.9784985,20392256.903180856,1611626739.075318,3622.7133
2019-02-13,450084.0917127,25012.755732439997,425071.33598026,1622694161.9702168,90178820.9118172,1532515341.0583992,3605.3133
2019-02-14,326630.30089607026,5561.813919570008,321068.48697650025,1173553274.3924994,19983096.849762276,1153570177.5427375,3592.91
2019-02-15,391860.99621921027,4513.856890539996,387347.1393286702,1411114292.8814557,16254661.820691261,1394859631.0607646,3601.0583
2019-02-16,290006.5592519002,11349.88968301,278656.6695688902,1047496441.8538824,40995517.787790045,1006500924.0660926,3611.975
2019-02-17,246545.4683347701,4225.522292959993,242319.94604180995,902785822.3474573,15472771.18441122,887313051.1630464,3661.7417
2019-02-18,422024.8982528399,11085.414768429997,410939.48348441004,1648320918.7842119,43296784.45951654,1605024134.324696,3905.7433
2019-02-19,501868.8862633104,5760.037314269998,496108.84894904,1968379105.6362233,22591432.558234934,1945787673.0779884,3922.0983
2019-02-20,544344.2297254395,23689.325990350004,520654.9037350897,2164742689.3298316,94207474.705164,2070535214.6246672,3976.79
2019-02-21,438349.4062208198,17817.4662951,420531.93992572016,1725492301.6832616,70135605.27605394,1655356696.4072084,3936.34
2019-02-22,428513.7119498703,6445.814502889997,422067.89744698047,1705482430.991924,25654309.492429696,1679828121.4994953,3979.995
2019-02-23,322626.6734894403,8846.399641489998,313780.27384795016,1337428968.8847194,36672203.8909389,1300756764.9937809,4145.4383
2019-02-24,348591.7355108502,5863.5531225999985,342728.18238825025,1313251388.1487038,22089792.9965366,1291161595.152168,3767.305
2019-02-25,505189.2517344204,13752.339083430004,491436.9126509898,1946069827.961264,52976210.523625724,1893093617.4376388,3852.16
2019-02-26,449555.75049995043,5095.779469059995,444459.9710308904,1722101210.3016202,19520266.354816303,1702580943.9468055,3830.6733
2019-02-27,472205.75706415006,4841.535004729996,467364.22205942,1809615234.5666595,18554020.937226586,1791061213.6294334,3832.26
2019-02-28,578702.5520791899,83589.36606491999,495113.18601427024,2214129448.0244446,319814862.1966134,1894314585.8278317,3826.0233
2019-03-01,427757.1873216806,4306.566635959997,423450.62068572064,1646895841.3788009,16580590.329273796,1630315251.0495262,3850.0717
2019-03-02,460656.4464064712,9479.38606663,451177.0603398407,1771276228.8082578,36449313.44063369,1734826915.3676236,3845.1133
2019-03-03,279091.54569453996,2247.9782392599996,276843.56745528005,1066170647.282897,8587606.652380904,1057583040.6305155,3820.1467
2019-03-04,447353.65367412026,4046.8696519100026,443306.78402221034,1669780303.3614678,15105237.611299563,1654675065.7501676,3732.5733
2019-03-05,436399.1202728803,8628.032488300001,427771.08778457996,1693577705.9549935,33483668.48059463,1660094037.4743989,3880.8
2019-03-06,455080.57896039035,5455.484241939999,449625.0947184504,1767987275.6241322,21194547.005613685,1746792728.6185188,3884.9983
2019-03-07,420550.6853919204,5596.225261990001,414954.4601299303,1636670433.7964633,21779007.252427284,1614891426.5440357,3891.7317
2019-03-08,450341.9530681702,8666.182622049995,441675.7704461203,1745286728.8571012,33585530.766276106,1711701198.0908258,3875.47
2019-03-09,310613.1679049801,2206.31046583,308406.85743915034,1227111487.2570934,8716272.189412663,1218395215.0676806,3950.61
2019-03-10,267819.54232051986,8251.752455950002,259567.78986457005,1053078036.9904668,32446247.95767674,1020631789.0327905,3932.0433
